Momentum Period,Value Weight,Momentum Weight,Low Volatility Weight,Top N,Max Weight,Data Hash,Total Return,Annualized Volatility,Annualized Return,Sharpe Ratio
12M,0.1,0.4,0.5,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.2711,0.124,0.4859,3.52
6M,0.1,0.4,0.5,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.2758000000000003,0.1244,0.4866,3.51
6M,0.1,0.5,0.4,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.2758000000000003,0.1244,0.4866,3.51
12M,0.1,0.3,0.6,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.0848,0.1162,0.4571,3.5
6M,0.1,0.5,0.4,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9268,0.1092,0.4317,3.5
12M,0.2,0.4,0.4,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.9349,0.1094999999999999,0.433,3.5
12M,0.4,0.3,0.3,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8832,0.107,0.4245,3.5
6M,0.4,0.4,0.2,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.3268,0.1271,0.4943,3.49
12M,0.1,0.5,0.4,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0852,0.1167,0.4572,3.49
12M,0.1,0.3,0.6,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.4017,0.1306,0.5055,3.49
12M,0.1,0.4,0.5,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.9538,0.1107,0.4361,3.49
12M,0.1,0.4,0.5,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.3568,0.129,0.4988,3.48
12M,0.4,0.5,0.1,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.4037,0.2032,0.7573000000000001,3.48
12M,0.6,0.3,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.4687,0.2057999999999999,0.7643000000000001,3.47
12M,0.4,0.3,0.3,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.4011,0.1313,0.5054,3.47
6M,0.4,0.4,0.2,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.27,0.1258,0.4858,3.47
6M,0.2,0.5,0.3,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.1213,0.1189,0.4628,3.47
